vessel_id,mmsi,imo,shipname,callsign,flag_code,flag,ship_type_summary,ship_type_detail_name,length_m,width_m,dwt,grt,year_built
014e4820-1920-7043-9e64-380d7d80b1f5,416497000,9629093.0,EVER LUNAR,BKKF,TW,China (People's Republic of) - Taiwan (Province of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,335.0,46.0,103891.0,101063.0,2015.0
016db3ab-4100-73e5-aa4b-7bba72b224a3,563095400,9840738.0,MAERSK MONGLA,9V6009,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,185.99001,36.0,37249.0,32828.0,2019.0
01742ffc-8380-7976-b69f-ea98387beee8,441421000,9882205.0,KMTC SEOUL,D7XC,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,196.16,32.540001,37200.0,27997.0,2020.0
014e481a-2998-7a67-b544-8e833607ced2,636026531,9275361.0,ATHENA I,A8YJ6,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Z",Container Ship,234.62,32.200001,49659.0,34610.0,2003.0
014e4c27-d238-79c3-bae7-8144f3320bbf,477947200,9617014.0,YAM O,VRJW8,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Tugs,Tugs,29.98,11.86,295.0,481.0,2012.0
014e46ec-f820-7ef1-8ef4-06b5829960dd,440493000,9217412.0,KMTC SINGAPORE,DSOA9,KR,Korea (Republic of),"Cargo ships, all ships of this type",Container Ship,171.67,27.200001,20530.0,16659.0,2001.0
014e473a-ba60-76a8-ba0a-229427be2f9b,636020769,9222974.0,GSL DOROTHEA,5LAQ2,LR,Liberia (Republic of),"Cargo ships, no additional information","Cargo ships, no additional information",277.22,40.0,68196.0,66058.0,2001.0
014e5668-7478-7c87-b394-888d6b716f25,477335800,9669732.0,HAI AN,VRLE8,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Tugs,Tugs,36.799999,10.0,182.0,415.0,2012.0
014e46fe-16f0-7648-a8a3-d2ff1c537511,477423200,9628867.0,DERYOUNG SUCCESS,VRJK9,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type","Cargo ships, all ships of this type",127.63,19.6,11493.0,8963.0,2012.0
014e4721-8540-7124-868e-227ca5604c1e,416443000,9567623.0,TAIPOWER PROSPERITY8,BDAY,TW,China (People's Republic of) - Taiwan (Province of China),"Cargo ships, all ships of this type",Bulk Carrier,234.8,38.0,93773.0,50236.0,2011.0
